"name";"code";"price";"old_price";"availability";"url";"category"
"Торшер Odeon Light 751353";"751353";"24560";"";"В наличии";"https://www.lustrof.ru/751353_torsher_odeon_light_foden_hightech_7101_15fl/";"Интерьерные светильники"
"Торшер Arte Lamp 436886";"436886";"15990";"";"В наличии";"https://www.lustrof.ru/436886_torsher_arte_lamp_paolo_a4060pn-1cc/";"Интерьерные светильники"
"Торшер изогнутый в наборе с Led лампами. Комплект от Lustrof №708764";"708764";"15990";"";"В наличии";"https://www.lustrof.ru/708764/";"Интерьерные светильники"
"Торшер Arte Lamp 94688";"94688";"10990";"";"В наличии";"https://www.lustrof.ru/94688_torsher_arte_lamp_braccio_a2054pn-1wh/";"Интерьерные светильники"
"Торшер с лампочкой Arte lamp 745978";"745978";"10990";"";"В наличии";"https://www.lustrof.ru/745978/";"Интерьерные светильники"
"146261 Светодиодный торшер LGO MARBLE";"146261";"28330";"";"В наличии";"https://www.lustrof.ru/146261-GRLSP-0539/";"Интерьерные светильники"
"Торшер Lussole Loft 332531";"332531";"40150";"";"В наличии";"https://www.lustrof.ru/332531/";"Интерьерные светильники"
"Торшер Arte Lamp 94687";"94687";"10990";"";"В наличии";"https://www.lustrof.ru/94687_torsher_arte_lamp_braccio_a2054pn-1bk/";"Интерьерные светильники"
"Торшер с лампочками. Комплект от Lustrof. №616712";"616712";"20990";"";"В наличии";"https://www.lustrof.ru/616712/";"Интерьерные светильники"
"Торшер с лампочкой Arte lamp 745977";"745977";"20990";"";"В наличии";"https://www.lustrof.ru/745977/";"Интерьерные светильники"
"Торшер светодиодный Lucide Gilly 297750";"297750";"13080";"";"В наличии";"https://www.lustrof.ru/297750_36712_05_31/";"Интерьерные светильники"
"Торшер Divinare 726559";"726559";"19990";"";"В наличии";"https://www.lustrof.ru/726559_torsher_divinare_malcone_2623_06_pn-9/";"Интерьерные светильники"
"Торшер изогнутый в наборе с Led лампами. Комплект от Lustrof №708811";"708811";"30028";"";"В наличии";"https://www.lustrof.ru/708811/";"Интерьерные светильники"
"Торшер изогнутый хром Lussole Lgo 438941";"438941";"17400";"";"В наличии";"https://www.lustrof.ru/438941_torsher_izognutyi_khrom_lussole_lgo_lsp-0644/";"Интерьерные светильники"
"Торшер Arte Lamp Goliath 40098";"40098";"20990";"";"В наличии";"https://www.lustrof.ru/40098_torsher_arte_lamp_goliath_a5822pn-1ss/";"Интерьерные светильники"
"136256 Торшер Maytoni";"136256";"23990";"";"В наличии";"https://www.lustrof.ru/136256-Z329-FL-01-CH/";"Интерьерные светильники"
"Торшер с лампочкой Arte lamp 745986";"745986";"15990";"";"В наличии";"https://www.lustrof.ru/745986/";"Интерьерные светильники"
"Торшер изогнутый в наборе с Led лампами. Комплект от Lustrof №708763";"708763";"15990";"";"В наличии";"https://www.lustrof.ru/708763/";"Интерьерные светильники"
"97814 Торшер ST-Luce MARCIA";"97814";"23936";"";"В наличии";"https://www.lustrof.ru/97814-SL460-105-01/";"Интерьерные светильники"
"Торшер Eurosvet 518500 (a062045)";"518500";"15900";"";"В наличии";"https://www.lustrof.ru/518500_torsher_eurosvet_01143_1__a062045_/";"Интерьерные светильники"
"Торшер Velante 657396";"657396";"30028";"";"В наличии";"https://www.lustrof.ru/657396_torsher_velante_532-715-01/";"Интерьерные светильники"
"Торшер Camelion C02 черный";"189755";"4486";"";"В наличии";"https://www.lustrof.ru/189755-KD-332--C02/";"Интерьерные светильники"
"Торшер с лампочками. Комплект от Lustrof. №616713";"616713";"10990";"";"В наличии";"https://www.lustrof.ru/616713/";"Интерьерные светильники"
"Торшер изогнутый белый Lussole Lgo 438939";"438939";"15399";"";"В наличии";"https://www.lustrof.ru/438939_torsher_izognutyi_belyi_lussole_lgo_lsp-0643/";"Интерьерные светильники"
"Торшер изогнутый Lumion Ledio Wes 681937";"681937";"15390";"";"В наличии";"https://www.lustrof.ru/681937_torsher_izognutyi_lumion_ledio_wes_5676_21fl/";"Интерьерные светильники"
"Торшер с лампочкой Eglo 745990";"745990";"38090";"";"В наличии";"https://www.lustrof.ru/745990/";"Интерьерные светильники"
"Торшер Lussole Loft Weston 369140";"369140";"19550";"21533";"В наличии";"https://www.lustrof.ru/torsher_lussole_loft_weston_lsp-0608/";"Интерьерные светильники"
"Торшер с лампочками. Комплект от Lustrof. №616722";"616722";"20990";"";"В наличии";"https://www.lustrof.ru/616722/";"Интерьерные светильники"
